date,my_HML,my_SMB,FF_HML,FF_SMB
1989-08-31,1.315912423638874,0.7008657424608423,0.6,    0.56
1989-07-31,-2.4282831492303933,-3.811499069247918,-2.79,   -4.14
1989-06-30,1.7240863754157079,-1.0524748099075176,2.25,   -1.02
1989-05-31,-1.0216397855084187,-0.0480830903824829,-0.88,   -0.05
1989-04-30,-1.3214837870260912,-0.6019231106682531,-1.42,   -0.68
1989-03-31,0.8820543961520471,0.47260587963299655,0.58,    0.67
1989-02-28,1.1471465975676978,2.930295727612238,1.01,    2.82
1989-01-31,0.8558878475160028,-2.2506267008894567,0.6,   -2.23
1988-12-31,-1.1324289452213558,2.1029590221669605,-1.69,    1.95
1988-11-30,0.7810957969833596,-1.5634507804069941,1.41,   -1.72
1988-10-31,1.3134878574799578,-3.1848497919073626,2.05,   -2.93
1988-09-30,-0.5473404169543478,-1.3363047506675785,-0.75,   -1.31
1988-08-31,2.3109786873147837,0.03960200288958757,2.15,    0.04
1988-07-31,2.5229907898945827,-0.42990376135205116,2.22,   -0.25
1988-06-30,-0.831508069155791,1.820082012432732,-1.24,    2.11
1988-05-31,1.9784724431117708,-2.44782115182112,2.42,   -2.60
1988-04-30,1.2915145512202866,0.7440658863879445,1.67,    1.00
1988-03-31,1.7203323182253514,6.200445179932525,0.73,    6.15
1988-02-29,-1.0345308081179165,3.390540996660328,-1.71,    3.34
1988-01-31,4.759697093843373,-1.0416884457809021,5.01,   -0.72
1987-12-31,-3.8979612396651904,0.12682929712098112,-4.43,    0.13
1987-11-30,2.32818236295345,2.7308501739744013,2.95,    2.72
1987-10-31,1.4523753278122387,-7.9041959435001585,4.24,   -8.43
1987-09-30,0.3590059202705564,0.7499212452776592,0.27,    0.54
1987-08-31,-1.1930640202103677,-0.6252746191801668,-0.93,   -0.77
1987-07-31,0.9216605520547344,-0.8134391508529668,0.68,   -0.69
1987-06-30,1.3850749444238748,-1.985241590838338,1.04,   -2.12
1987-05-31,0.3088159007269643,-0.3224887904845357,0.23,   -0.50
1987-04-30,1.0224861877623816,-1.5253576158461875,-0.39,   -1.69
1987-03-31,1.7335780209131901,0.23535286277580925,1.61,    0.45
1987-02-28,-4.535370631053728,3.556352982101712,-5.91,    3.49
1987-01-31,-2.390586949462112,-1.5879901556123357,-3.16,   -1.81
1986-12-31,0.12137010950065835,0.1603512995987759,0.36,    0.13
1986-11-30,-0.5053166402331638,-2.117360930204209,-0.07,   -1.91
1986-10-31,-1.3222014927599814,-2.4075562881216914,-1.42,   -2.50
1986-09-30,3.7660668856835144,2.193337163988334,3.22,    2.36
1986-08-31,3.2606053083581084,-4.113124968349559,3.51,   -4.17
1986-07-31,2.640983302961907,-3.5611665532376957,4.7,   -3.36
1986-06-30,-0.2911813753538032,-0.571230362617505,1.28,   -0.96
1986-05-31,-0.4113096747417805,-1.3404023390183553,-0.21,   -1.35
1986-04-30,-2.870086166499556,3.165900019768253,-2.87,    2.78
1986-03-31,-0.6553147908498362,-0.37762923598267384,-0.39,   -0.59
1986-02-28,0.17818075140596662,-1.034320782100949,-0.72,   -0.54
1986-01-31,0.8701237919008687,0.6056945044340882,0.44,    1.21
1985-12-31,-1.8963867284191325,-0.22008813748739461,-1.54,   -0.51
1985-11-30,-2.3228332957908466,0.16957657827058742,-2.85,    0.25
1985-10-31,0.898393751203258,-1.2553730962328438,0.75,   -1.51
1985-09-30,1.2768650008207358,-1.4685865785376757,1.29,   -1.59
1985-08-31,1.4734947059234809,-0.23902778715680154,2.32,   -0.30
1985-07-31,-0.6075662921837903,2.801487683890931,-1.62,    2.84
1985-06-30,1.077556788919514,0.4137577412875716,0.38,    0.52
1985-05-31,-0.7783564175776192,-2.1537587369056435,-0.96,   -2.22
1985-04-30,3.91608531848943,0.027627113771171153,3.72,    0.14
1985-03-31,3.6266612922675496,-1.3226077269086802,4.07,   -1.08
1985-02-28,-0.031289736103502774,0.7387251432193802,-0.1,    0.79
1985-01-31,-4.795821915224257,3.330498767527605,-5.35,    3.31
1984-12-31,-0.36174180303840225,-0.5273718689898836,-0.26,   -0.56
1984-11-30,4.01806476773624,-0.771161121223594,4.06,   -0.65
1984-10-31,0.7886854171720756,-1.1318885332215702,0.45,   -1.23
1984-09-30,5.1801847621499775,-0.12562585964763587,5.28,    0.17
1984-08-31,-1.6654841367491429,-0.4926522859062546,-1.82,   -0.24
1984-07-31,0.9832078431507463,-2.126789468417882,0.36,   -2.21
1984-06-30,-2.527697778224687,-0.048901311537101824,-2.66,   -0.30
1984-05-31,-0.32971128307612496,0.07639726648256198,0.31,    0.06
1984-04-30,0.21215616853213345,-1.0489713248557573,1.2,   -1.16
1984-03-31,0.44301010420877296,0.21953231494353243,0.46,    0.07
1984-02-29,2.9761512261184135,-1.8294977533016579,3.33,   -1.69
1984-01-31,7.421254565316433,-0.34776132089288603,7.58,   -0.38
1983-12-31,2.071662258000372,-0.4642752955374406,1.73,   -0.27
1983-11-30,-0.05016144525621935,1.9839280388597291,-0.72,    2.01
1983-10-31,3.7613239554629967,-3.482461201391087,4.97,   -3.57
1983-09-30,0.6748986645699703,0.758195735410981,1.01,    0.61
1983-08-31,4.586704694335383,-4.426738338735437,5.54,   -4.28
1983-07-31,4.830813660637642,1.4663606011703931,5.62,    1.50
1983-06-30,-3.0967189763616463,1.0702512087668092,-3.9,    0.95
1983-05-31,-1.629133009725424,6.389925670191903,-1.4,    6.24
1983-04-30,2.1762883723879742,0.08132953574210011,0.49,    0.50
1983-03-31,3.0096901355596897,1.3743551887631718,2.02,    1.73
1983-02-28,1.6299461944821867,2.7625805777888868,0.7,    3.27
1983-01-31,-2.065613428924847,3.159967335663742,-0.75,    2.73
1982-12-31,-0.3979182358564617,-0.3107181917343282,-0.02,   -0.22
1982-11-30,-0.525252034677455,4.593151352083783,-1.87,    4.67
1982-10-31,-1.487758738836284,1.858279231110728,-3.66,    2.34
1982-09-30,0.8968100822354212,2.760533469959821,0.28,    2.95
1982-08-31,0.962875990545789,-4.246256794752044,0.95,   -4.14
1982-07-31,0.5334076204104609,0.9965738911924605,0.09,    0.83
1982-06-30,2.0246753646433953,-0.48719197607593884,1.53,   -0.40
1982-05-31,1.5352350740509624,0.19703312229887165,1.75,    0.52
1982-04-30,-2.882539888620781,1.7434873919295977,-2.7,    1.47
1982-03-31,4.257440752501984,-0.2272532575115508,3.81,   -0.21
1982-02-28,6.32901000155811,0.2930561444769435,6.05,    0.44
1982-01-31,3.5760475805638063,-1.2815458053677922,3.19,   -1.28
1981-12-31,1.0940925448688452,1.1495353970850912,0.81,    1.20
1981-11-30,1.7329956452402613,-1.2584052619913382,1.83,   -1.03
1981-10-31,-5.080913153128292,2.7916432549675045,-4.21,    2.23
1981-09-30,5.185592272414603,-2.642507039709103,5.17,   -2.65
1981-08-31,3.6282709535930393,-2.012753438003539,4.76,   -1.95
1981-07-31,-0.9632963972733694,-1.976585752298844,-0.5,   -2.19
1981-06-30,4.685570401304528,-0.9381733299509639,5.13,   -0.83
1981-05-31,-0.6547775408854061,2.049152114977911,-0.42,    2.00
1981-04-30,2.5042448437920592,4.350438499551752,2.28,    4.40
1981-03-31,1.8733114826428234,2.9617862927665204,0.64,    3.54
1981-02-28,1.4599467050098185,-0.6365184023035039,1.02,   -0.34
1981-01-31,6.264751267636133,3.0809727514836243,6.72,    2.92
1980-12-31,3.336000920319064,-0.31808673724722025,2.79,   -0.26
1980-11-30,-8.788972895920276,-2.9485028877259443,-8.33,   -3.36
1980-10-31,-3.0592936793061956,2.3752755218994346,-2.76,    2.47
1980-09-30,-4.212688491741965,1.2061754814929893,-4.59,    0.98
1980-08-31,-2.8181204792619723,4.274137852093939,-2.6,    3.92
1980-07-31,-4.5139693052058085,4.031364935104441,-6.41,    4.14
1980-06-30,-1.0309658844380127,1.303279404105772,-0.76,    1.66
1980-05-31,0.4880033484686519,2.124801712349965,0.38,    2.13
1980-04-30,0.17996933559715558,1.0594809227568085,1.06,    1.05
1980-03-31,-1.1097014873635014,-6.162730038184523,-1.01,   -6.64
1980-02-29,0.4537515726276651,-2.2011459711475747,0.61,   -1.85
1980-01-31,2.302946555438143,1.5554450516349128,1.75,    1.62
1979-12-31,-1.7049091482357088,4.067678621910945,-2.1,    4.17
1979-11-30,-3.47847066162878,2.6883001517570295,-3.29,    2.87
1979-10-31,-2.3531542248754964,-3.229130052420913,-1.84,   -3.37
1979-09-30,-0.8962175967455698,-0.5173459604451145,-0.9,   -0.27
1979-08-31,-1.0458029893210345,1.810529150552937,-1.58,    2.05
1979-07-31,2.191804732181867,1.261603975123648,1.86,    1.28
1979-06-30,0.8039804442996894,0.8998126527383438,1.44,    1.17
1979-05-31,0.9348303763249171,-0.00246978020483294,1.31,    0.21
1979-04-30,0.9696200460057884,2.0990647993549416,1.12,    2.15
1979-03-31,0.13815402991339126,2.9310010804331905,-0.71,    3.26
1979-02-28,0.44556437131653415,0.3898864200769483,1.17,    0.45
1979-01-31,2.713366687694199,3.427639660733315,2.19,    3.62
1978-12-31,-2.5914316454529844,1.2900260369779553,-2.13,    1.29
1978-11-30,-2.3216491451799866,2.845603883022277,-2.15,    2.97
1978-10-31,0.6756243623607966,-9.482122830490866,1.38,   -9.86
1978-09-30,1.7013628680661974,-0.4354495800008985,1.89,   -0.43
1978-08-31,-0.7193099289857299,5.011357273838069,-0.51,    5.06
1978-07-31,-0.9244746765033917,-0.02840267502717056,-1.15,    0.23
1978-06-30,0.601896470086446,1.765420695389048,0.57,    1.66
1978-05-31,-0.6295297042915489,4.655266248200941,-0.52,    4.56
